YEAR,MONTH_NAME,TOTAL_VOLUME,DETECTORSITE_NAME,LONGITUDE,LATITUDE,DETECTORSITE_SUBURB_NAME,DETECTORSITE_DIVISION_NAME
2024,September,178156.00000,5051/NE/LQ,153.470595,-28.135527,Elanora,Division 13
2024,September,85835.00000,5131/SB/LS,153.42883,-27.997662,Surfers Paradise,Division 7
2024,September,91112.00000,5471/EB/RS,153.389445,-27.954827,Southport,Division 6
2024,September,97773.00000,5561/NB/LQ,153.304947,-27.869128,Upper Coomera,Division 1
2024,September,24059.00000,5153/NB/LS,153.445483,-28.076417,Miami,Division 12
2024,September,75649.00000,5605/WB/LQ,153.317236,-27.82417,Pimpama,Division 1
2024,September,729746.00000,5118/SE/LQ,153.423763,-27.982197,Main Beach,Division 7
2024,September,150050.00000,VDS856 NB Off App,153.406753,-28.107196,Reedy Creek,Division 13
2024,September,150050.00000,VDS856 NB Off Dep,153.406791,-28.107249,Reedy Creek,Division 13
2024,September,19112.00000,5311/SB/RS,153.388355,-28.029361,Carrara,Division 8
2024,September,15825.00000,5650/WB/TS,153.378453,-27.974069,Molendinar,Division 6
2024,September,50902.00000,5009/SB/LS,153.415732,-27.973251,Southport,Division 6
2024,September,182477.00000,5065/SB/RS,153.393784,-27.970035,Southport,Division 6
2024,September,297235.00000,5584/NB/RS,153.39423,-27.967534,Southport,Division 6
2024,September,314636.00000,5114/SE/RS,153.413824,-27.96306,Southport,Division 6
2024,September,32145.00000,5476/SB/RS,153.301781,-27.850181,Upper Coomera,Division 1
2024,September,593457.00000,5318/WB/TQUEUE,153.41165,-28.101508,Burleigh Heads,Division 12
2024,September,138586.00000,5451/NW/TQ,153.296195,-27.867845,Upper Coomera,Division 1
2024,September,48169.00000,5335/NE/TS,153.347141541,-27.996189048,Nerang,Division 8
2024,September,16462.00000,5060/EB/TS,153.392717,-27.996546,Ashmore,Division 7
2024,September,9827.00000,5654/EB/RS,153.408489352,-27.959432476,Southport,Division 6
2024,September,90532.00000,5601/NE/RS,153.391415446,-28.084418398,Robina,Division 11
2024,September,5378.00000,5348/NB/TS,153.352866,-27.997626,Nerang,Division 8
2024,September,31659.00000,5072/WB/TS,153.402197,-27.948509,Labrador,Division 6
2024,September,38657.00000,5048/EB/TS,153.462653,-28.111025,Palm Beach,Division 13
2024,September,62083.00000,5091/WB/TS,153.398202,-27.947922,Labrador,Division 6
2024,September,43178.00000,5324WB,153.395643,-28.009143,Benowa,Division 7
2024,September,11320.00000,5177/EB/LS,153.473624,-28.122513,Palm Beach,Division 13
2024,September,10084.00000,5160/NE/LS,153.471606757,-28.119204459,Palm Beach,Division 13
2024,September,80370.00000,5161/NE/LS,153.472581,-28.120858,Palm Beach,Division 13
2024,September,31143.00000,5109/NB/TS,153.396304111,-27.935610413,Biggera Waters,Division 4
2024,September,368075.00000,5043/SB/TS1,153.428805,-28.058628,Mermaid Waters,Division 12
2024,September,216441.00000,5313/NB/TQ,153.38204389,-28.014981168,Carrara,Division 8
2024,September,66954.00000,5662/SB/TS,153.379922466,-28.087842526,Mudgeeraba,Division 9
2024,September,183715.00000,5444WB,153.3048,-27.870243,Upper Coomera,Division 1
2024,September,316324.00000,5081/SB/TS,153.36962,-28.011156,Carrara,Division 8
2024,September,15409.00000,0000EB_7,153.399756,-27.942967,Labrador,Division 4
2024,September,122087.00000,5465/WB/RS,153.307451099,-27.86214561,Upper Coomera,Division 1
2024,September,186392.00000,5461/EB/TQ,153.34809084,-28.01591298,Highland Park,Division 9
2024,September,26396.00000,5486NWB,153.33833,-27.892427,Helensvale,Division 2
2024,September,138586.00000,5451/NW/LS,153.296195,-27.867845,Upper Coomera,Division 1
2024,September,276053.00000,5547/WB/LS,153.359323698,-27.945363317,Parkwood,Division 6
2024,September,67510.00000,5535/SB/TS,153.431438277,-28.030403459,Broadbeach,Division 10
2024,September,313337.00000,5173/WB/TQ,153.361782477,-27.927151616,Coombabah,Division 4
2024,September,265333.00000,5107/WB/TQ,153.37445987,-27.931419249,Biggera Waters,Division 4
2024,September,221909.00000,5532/EB/TQ,153.406101108,-28.102251855,Burleigh Heads,Division 11
2024,September,134700.00000,5171/EB/RS,153.410093276,-27.957789599,Southport,Division 6
2024,September,352766.00000,0000SB_5,153.430117,-28.029571,Broadbeach,Division 10
2024,September,146309.00000,5456/WB/TQ,153.359718,-28.0823,Mudgeeraba,Division 9
2024,September,5476.00000,5063/SB/LQ,153.382383,-27.980863,Ashmore,Division 6
2024,September,9898530.00000,5878Ndep,153.359487,-28.060978,Mudgeeraba,Division 9
2024,September,15920.00000,5373/EB/RS,153.327789,-28.000562,Nerang,Division 5
2024,September,376694.00000,5177/NB/RS,153.473624,-28.122513,Palm Beach,Division 13
2024,September,200719.00000,5159/SE/TQ,153.469719,-28.116014,Palm Beach,Division 13
2024,September,164047.00000,5602/WB/RS,153.411931164,-28.068558605,Robina,Division 11
2024,September,148748.00000,5621/EB/TQ,153.427421078,-27.974118967,Main Beach,Division 7
2024,September,163137.00000,5673NB,153.373373,-27.936969,Arundel,Division 4
2024,September,118645.00000,5438/SE/TQ,153.464968368,-28.124234736,Palm Beach,Division 13
2024,September,127527.00000,5362/SE/LQ,153.401872,-28.097234,Varsity Lakes,Division 11
2024,September,39043.00000,5558/NB/TS,153.381502,-27.958486,Southport,Division 6
2024,September,82804.00000,5567/SE/TS,153.384419,-27.962961,Southport,Division 6
2024,September,81833.00000,5132/SB/LS,153.429077,-28.005772,Surfers Paradise,Division 7
2024,September,17537.00000,5661/NE/TS,153.31575,-27.852209,Coomera,Division 3
2024,September,56409.00000,5457/WB/TQ,153.382073,-27.922532,Biggera Waters,Division 4
2024,September,6357.00000,5138/WB/LS,153.428887,-28.021021,Broadbeach,Division 10
2024,September,127244.00000,5527/NE/TQ,153.350578,-27.946909,Arundel,Division 2
2024,September,412495.00000,5308/WB/RS,153.378575916,-27.999169974,Benowa,Division 8
2024,September,29111.00000,5675/NE/RS,153.303768,-27.856282,Upper Coomera,Division 1
2024,September,265.00000,5145/NB/TQ,153.434444,-28.042756,Mermaid Beach,Division 10
2024,September,363451.00000,5002/WB/TQ,153.400704,-27.962636,Southport,Division 6
2024,September,344927.00000,5093/NB/RS,153.424967,-28.037719,Mermaid Waters,Division 10
2024,September,1017.00000,5315/SB/RS,153.360078,-28.000833,Carrara,Division 8
2024,September,58923.00000,5031/SE/TS,153.33642288,-27.98938197,Nerang,Division 5
2024,September,3914990.00000,5873Ndep,153.353533,-28.043715,Worongary,Division 9
2024,September,77791.00000,5069/SB/RS,153.395172,-27.955685,Southport,Division 6
2024,September,408286.00000,5027/EB/RS,153.41543388,-28.03663899,Mermaid Waters,Division 10
